,Decade,Total Pages,Pages with Faces,% Pages with Faces,Total Faces
7,1790,20,3,15.0,3
4,1800,36,9,25.0,10
0,1810,26,2,7.6923076923076925,2
10,1820,32,1,3.125,1
12,1830,36,2,5.555555555555555,2
16,1840,24,0,0.0,0
9,1850,24,2,8.333333333333332,2
11,1860,24,1,4.166666666666666,1
13,1870,24,1,4.166666666666666,1
20,1880,24,1,4.166666666666666,1
15,1890,26,1,3.8461538461538463,1
18,1900,28,4,14.285714285714285,4
19,1910,30,4,13.333333333333334,4
17,1920,28,6,21.428571428571427,8
14,1930,28,6,21.428571428571427,8
8,1940,38,8,21.052631578947366,10
6,1950,48,8,16.666666666666664,8
3,1960,90,19,21.11111111111111,25
5,1970,78,11,14.102564102564102,14
2,1980,136,44,32.35294117647059,60
1,1990,208,74,35.57692307692308,115
