,Decade,Total Pages,Pages with Faces,% Pages with Faces,Total Faces
12,1880,34,1,2.941176470588235,1
4,1890,52,12,23.076923076923077,17
9,1900,68,17,25.0,25
13,1910,52,17,32.69230769230769,27
10,1920,64,29,45.3125,46
6,1930,54,19,35.18518518518518,31
11,1940,56,16,28.57142857142857,24
7,1950,94,47,50.0,105
2,1960,144,60,41.66666666666667,175
3,1970,200,82,41.0,202
8,1980,210,106,50.476190476190474,343
0,1990,202,97,48.01980198019802,218
1,2000,216,151,69.9074074074074,525
5,2010,188,133,70.74468085106383,431
